movie_id,movie_name,certificate,genre,description,directors,stars
tt0111161,The Shawshank Redemption,A,Drama            ,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"     Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
tt0468569,The Dark Knight,UA,"Action, Crime, Drama            ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"     Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
tt1375666,Inception,UA,"Action, Adventure, Sci-Fi            ","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"     Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
tt0137523,Fight Club,A,Drama            ,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"     Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
tt0110912,Pulp Fiction,A,"Crime, Drama            ","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"     John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
tt0109830,Forrest Gump,UA,"Drama, Romance            ","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"     Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,U,"Action, Adventure, Drama            ",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"     Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
tt0133093,The Matrix,A,"Action, Sci-Fi            ","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski","     Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
tt0167260,The Lord of the Rings: The Return of the King,U,"Action, Adventure, Drama            ",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"     Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
tt0068646,The Godfather,A,"Crime, Drama            ","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,"     Marlon Brando, Al Pacino, James Caan, Diane Keaton"
tt1345836,The Dark Knight Rises,UA,"Action, Drama, Thriller            ","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Christopher Nolan,"     Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
tt0167261,The Lord of the Rings: The Two Towers,UA,"Action, Adventure, Drama            ","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"     Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
tt0114369,Se7en,A,"Crime, Drama, Mystery            ","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"     Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
